Algorithm,Evaluation Metric,Dataset Condition,Rank,Distance Metric,Average Score
KNN,F1 Score,Size: Medium Rows,3,manhattan,0.6534
KNN,Precision,Balanced (Low Imbalance),1,canberra,0.6775
KNN,Precision,Balanced (Low Imbalance),2,braycurtis,0.6754
KNN,Precision,Balanced (Low Imbalance),3,manhattan,0.6734
KNN,Precision,Features: High Columns,1,braycurtis,0.833
KNN,Precision,Features: High Columns,2,canberra,0.8314
KNN,Precision,Features: High Columns,3,manhattan,0.8236
KNN,Precision,Features: Low Columns,1,manhattan,0.6282
KNN,Precision,Features: Low Columns,2,braycurtis,0.6272
KNN,Precision,Features: Low Columns,3,canberra,0.6229
KNN,Precision,Features: Medium Columns,1,canberra,0.8091
KNN,Precision,Features: Medium Columns,2,jensen_shannon,0.8071
KNN,Precision,Features: Medium Columns,3,kl_divergence,0.8053
KNN,Precision,Imbalanced (High Imbalance),1,canberra,0.8315
KNN,Precision,Imbalanced (High Imbalance),2,braycurtis,0.8285
KNN,Precision,Imbalanced (High Imbalance),3,manhattan,0.8229
KNN,Precision,Size: High Rows,1,canberra,0.8002
KNN,Precision,Size: High Rows,2,braycurtis,0.7951
KNN,Precision,Size: High Rows,3,manhattan,0.7944
KNN,Precision,Size: Low Rows,1,canberra,0.809
KNN,Precision,Size: Low Rows,2,braycurtis,0.8037
KNN,Precision,Size: Low Rows,3,manhattan,0.7959
KNN,Precision,Size: Medium Rows,1,braycurtis,0.657
KNN,Precision,Size: Medium Rows,2,canberra,0.6542
KNN,Precision,Size: Medium Rows,3,manhattan,0.6541
KNN,Recall,Balanced (Low Imbalance),1,canberra,0.6814
KNN,Recall,Balanced (Low Imbalance),2,braycurtis,0.6785
KNN,Recall,Balanced (Low Imbalance),3,manhattan,0.6763
KNN,Recall,Features: High Columns,1,braycurtis,0.8402
KNN,Recall,Features: High Columns,2,canberra,0.8395
KNN,Recall,Features: High Columns,3,manhattan,0.8359
KNN,Recall,Features: Low Columns,1,manhattan,0.632
KNN,Recall,Features: Low Columns,2,braycurtis,0.6312
KNN,Recall,Features: Low Columns,3,canberra,0.6288
KNN,Recall,Features: Medium Columns,1,canberra,0.818
KNN,Recall,Features: Medium Columns,2,jensen_shannon,0.815
KNN,Recall,Features: Medium Columns,3,bhattacharyya,0.8135
KNN,Recall,Imbalanced (High Imbalance),1,canberra,0.8428
KNN,Recall,Imbalanced (High Imbalance),2,braycurtis,0.8382
KNN,Recall,Imbalanced (High Imbalance),3,manhattan,0.8359
KNN,Recall,Size: High Rows,1,canberra,0.8063
