Dataset,Category,Algorithm,Metric Type,Distance Metric,Accuracy,Precision,Recall,F1 Score,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Adjusted Rand Index,Normalized Mutual Info
vehicle_lr_hc.csv,balanced,K-Medoids,Geometric,euclidean,,,,,0.3039507266016064,1.3415439719504265,517.897216589675,0.10308120957316903,0.13729550671604357
vehicle_lr_hc.csv,balanced,DBSCAN,Geometric,euclidean,,,,,0.3227761534744919,1.026828000123615,19.03696898465,0.008810274892477524,0.015554601803510516
vehicle_lr_hc.csv,balanced,KNN,Geometric,manhattan,0.9188214799666742,0.9222872632845729,0.9188214799666742,0.9191467909907359,,,,,
vehicle_lr_hc.csv,balanced,SVM,Geometric,manhattan,0.9446565174581535,0.9527080079772674,0.9446565174581535,0.9453884713414613,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Geometric,manhattan,,,,,0.3012551489713436,1.485458595557288,475.56338235385357,0.07100723299944556,0.11707989606067966
vehicle_lr_hc.csv,balanced,DBSCAN,Geometric,manhattan,,,,,0.28977309671995694,1.026828000123615,19.03696898465,0.008810274892477524,0.015554601803510516
vehicle_lr_hc.csv,balanced,KNN,Geometric,minkowski,0.8905248807089297,0.892848816093671,0.8905248807089297,0.8908096044901861,,,,,
vehicle_lr_hc.csv,balanced,SVM,Geometric,minkowski,0.944618647277134,0.95102071216903,0.944618647277134,0.9453217522891812,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Geometric,minkowski,,,,,0.3039507266016064,1.3415439719504265,517.897216589675,0.10308120957316903,0.13729550671604357
vehicle_lr_hc.csv,balanced,DBSCAN,Geometric,minkowski,,,,,0.3227761534744919,1.026828000123615,19.03696898465,0.008810274892477524,0.015554601803510516
vehicle_lr_hc.csv,balanced,KNN,Geometric,chebyshev,0.8241308793456034,0.8301364358421974,0.8241308793456034,0.8233795635032208,,,,,
vehicle_lr_hc.csv,balanced,SVM,Geometric,chebyshev,0.6309020677118837,0.6640334916748455,0.6309020677118837,0.6345244917043072,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Geometric,chebyshev,,,,,0.09192992165760887,3.4616699511840623,59.14575789486302,0.0071748064375204805,0.05508473871410401
vehicle_lr_hc.csv,balanced,DBSCAN,Geometric,chebyshev,,,,,0.3562350958763133,1.291015470227831,16.72176340789964,0.007729360242306362,0.009921380928800991
vehicle_lr_hc.csv,balanced,KNN,Geometric,canberra,0.933568128455654,0.9383386146550514,0.933568128455654,0.9339399418584036,,,,,
vehicle_lr_hc.csv,balanced,SVM,Geometric,canberra,0.9520109066121336,0.9567969616761912,0.9520109066121336,0.9525291817365934,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Geometric,canberra,,,,,0.22739359803634823,1.5368542236924163,469.7604084641873,0.09252370215522356,0.13217480046321683
vehicle_lr_hc.csv,balanced,DBSCAN,Geometric,canberra,,,,,0.3731366623117667,1.51378642172039,23.433923483450055,-0.0037074156548734193,0.0018488405436897786
vehicle_lr_hc.csv,balanced,KNN,Geometric,braycurtis,0.9298871468605621,0.9326117685846258,0.9298871468605621,0.9300835396433763,,,,,
vehicle_lr_hc.csv,balanced,SVM,Geometric,braycurtis,0.9520260546845414,0.9579992621457996,0.9520260546845414,0.9527460334259625,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Geometric,braycurtis,,,,,0.30161063918153036,1.3887832698004174,504.34242508277725,0.09738906858170841,0.13616182122970374
vehicle_lr_hc.csv,balanced,DBSCAN,Geometric,braycurtis,,,,,0.31320625863909746,1.9312917892227897,18.005305927507617,0.001458508111453109,0.0026739966783590444
vehicle_lr_hc.csv,balanced,KNN,Geometric,hamming,0.8400742255547982,0.844924936684454,0.8400742255547982,0.8388388513525914,,,,,
vehicle_lr_hc.csv,balanced,SVM,Geometric,hamming,0.8093312126031963,0.8308822011674024,0.8093312126031963,0.8090076314461889,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Geometric,hamming,,,,,0.004296950922029969,10.691136909571439,5.128700969039298,0.025531248163347984,0.020622158601915738
vehicle_lr_hc.csv,balanced,DBSCAN,Geometric,hamming,,,,,,,,,
vehicle_lr_hc.csv,balanced,KNN,Geometric,cosine,0.9077406650003788,0.909417629123902,0.9077406650003788,0.907832219715841,,,,,
vehicle_lr_hc.csv,balanced,SVM,Geometric,cosine,0.9421722335832765,0.9489706469054054,0.9421722335832765,0.9430119859931633,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Geometric,cosine,,,,,0.4216079285778163,1.3437994182820265,485.187392829442,0.1283793271698645,0.1476946206712548
vehicle_lr_hc.csv,balanced,DBSCAN,Geometric,cosine,,,,,0.35087444740712515,1.4333166649376796,10.10293305683958,0.007771745389779957,0.01742559180910219
vehicle_lr_hc.csv,balanced,KNN,Probabilistic,earth_movers,0.7270165871392865,0.731878657924506,0.7270165871392865,0.7284029622519668,,,,,
vehicle_lr_hc.csv,balanced,SVM,Probabilistic,earth_movers,0.6864273271226237,0.7523579284632256,0.6864273271226237,0.6908662937201266,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Probabilistic,earth_movers,,,,,0.5250499105812141,0.9587365659440362,1302.7674370882614,0.0912131761625779,0.10667832325017142
vehicle_lr_hc.csv,balanced,DBSCAN,Probabilistic,earth_movers,,,,,0.3247118856818311,0.9706501327875177,29.81610924440991,0.010831378168871244,0.01658609932105691
vehicle_lr_hc.csv,balanced,KNN,Probabilistic,kl_divergence,0.7896993107627055,0.7932916548750379,0.7896993107627055,0.7907274666915984,,,,,
vehicle_lr_hc.csv,balanced,SVM,Probabilistic,kl_divergence,0.7798606377338484,0.8146980496293347,0.7798606377338484,0.7829716896253778,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Probabilistic,kl_divergence,,,,,0.40750054574308897,2.5679406303988475,567.7921864166249,0.06922972724363,0.08864931572550126
